iter	Passed	Remaining
925	13746	1098
926	13763	1083
927	13782	1069
928	13798	1054
929	13816	1039
930	13831	1025
931	13849	1010
932	13867	995
933	13883	981
934	13902	966
935	13920	951
936	13941	937
937	13957	922
938	13974	907
939	13991	893
940	14010	878
941	14029	863
942	14049	849
943	14068	834
944	14085	819
945	14104	805
946	14123	790
947	14143	775
948	14161	761
949	14176	746
950	14192	731
951	14205	716
952	14218	701
953	14235	686
954	14248	671
955	14265	656
956	14283	641
957	14301	626
958	14317	612
959	14333	597
960	14349	582
961	14366	567
962	14379	552
963	14394	537
964	14408	522
965	14425	507
966	14442	492
967	14458	477
968	14476	463
969	14493	448
970	14509	433
971	14526	418
972	14544	403
973	14559	388
974	14572	373
975	14588	358
976	14600	343
977	14611	328
978	14627	313
979	14642	298
980	14656	283
981	14671	268
982	14687	254
983	14702	239
984	14719	224
985	14737	209
986	14751	194
987	14765	179
988	14781	164
989	14797	149
990	14811	134
991	14824	119
992	14836	104
993	14850	89
994	14864	74
995	14881	59
996	14897	44
997	14912	29
998	14927	14
999	14943	0
